Jahr;Monat;Typ;Elektrizitätserzeugung (brutto);;Elektrizitätserzeugung (netto);data_quality
2002;Januar;Steinkohlen;12803296;e;11794798;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;13361162;e;12338412;e
;;Hartbraunkohlen;197149;e;180472;e
;;Braunkohlenbriketts;5632;e;4840;e
;;Braunkohlenkoks;-;;-;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;44747;e;39653;e
;;Sonstige Braunkohlen;9209;e;8383;e
;;Dieselkraftstoff;1320;e;1286;e
;;Heizöl, leicht;109227;e;97351;e
;;Heizöl, schwer;152893;e;138135;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;37443;e;33903;e
;;Sonstige Mineralölprodukte;30249;e;27237;e
;;Erdgas, Erdölgas;5436154;e;5118606;e
;;Grubengas;3256;e;2968;e
;;Kokereigas;1847;e;1665;e
;;Hochofengas;152094;e;146162;e
;;Sonstige hergestellte Gase;22376;e;20641;e
;;Wasserstoff;-;;-;
;;Laufwasser;1188995;e;1168552;e
;;Speicherwasser;149702;e;144945;e
;;Pumpspeicherwasser;352185;e;344708;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;15802;e;15705;e
;;Photovoltaik;46;e;29;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;11838;e;10798;e
;;Flüssige biogene Stoffe;-;;-;
;;Biogas;3303;e;3146;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;1100;e;1097;e
;;Deponiegas;9254;e;8804;e
;;Sonstige erneuerbare Energien;36879;e;33864;e
;;Klärschlamm;4846;e;4324;e
;;Abfall (Hausmüll, Industrie);279735;e;204157;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;16215249;e;15371568;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;755;e;755;e
;;Andere Speicher;-;;-;
;;Insgesamt;50637742;e;47266964;e
;Februar;Steinkohlen;10341956;e;9510999;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;11998514;e;11086776;e
;;Hartbraunkohlen;218815;e;200035;e
;;Braunkohlenbriketts;4945;e;4255;e
;;Braunkohlenkoks;-;;-;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;36223;e;32417;e
;;Sonstige Braunkohlen;8430;e;7685;e
;;Dieselkraftstoff;464;e;423;e
;;Heizöl, leicht;43906;e;39977;e
;;Heizöl, schwer;57672;e;53181;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;18777;e;17035;e
;;Sonstige Mineralölprodukte;16508;e;15017;e
;;Erdgas, Erdölgas;3793096;e;3649874;e
;;Grubengas;2228;e;2035;e
;;Kokereigas;1535;e;1389;e
;;Hochofengas;246424;e;233423;e
;;Sonstige hergestellte Gase;19473;e;17939;e
;;Wasserstoff;-;;-;
;;Laufwasser;1217025;e;1198807;e
;;Speicherwasser;207382;e;203202;e
;;Pumpspeicherwasser;290290;e;284127;e
;;Pumpspeicher mit natürlichem Zufluss;-;;-;
;;Pumpspeicher ohne natürlichen Zufluss;-;;-;
;;Windkraft;22382;e;21786;e
;;Photovoltaik;82;e;77;e
;;Geothermie;-;;-;
;;Wärmepumpen (Erd- und Umweltwärme);-;;-;
;;Solarthermie;-;;-;
;;Feste biogene Stoffe;11373;e;10317;e
;;Flüssige biogene Stoffe;-;;-;
;;Biogas;2653;e;2504;e
;;Biomethan (Bioerdgas);-;;-;
;;Klärgas;888;e;886;e
;;Deponiegas;10187;e;9736;e
;;Sonstige erneuerbare Energien;33627;e;30878;e
;;Klärschlamm;3369;e;2965;e
;;Abfall (Hausmüll, Industrie);289114;e;213474;e
;;Abfall (Industrie);-;;-;
;;Abfall (Hausmüll, Siedlungsabfälle);-;;-;
;;Kernenergie;14051651;e;13328669;e
;;Wärme;-;;-;
;;Strom (Elektrokessel);-;;-;
;;Sonstige Energieträger;447;e;447;e
;;Andere Speicher;-;;-;
;;Insgesamt;42949437;e;40180333;e
;März;Steinkohlen;10697436;e;9840130;e
;;Steinkohlenkoks;-;;-;
;;Steinkohlenbriketts;-;;-;
;;Kohlenwertstoffe aus Steinkohle;-;;-;
;;Sonstige Steinkohlen;-;;-;
;;Rohbraunkohlen;13299816;e;12261746;e
;;Hartbraunkohlen;219555;e;200321;e
;;Braunkohlenbriketts;4929;e;4261;e
;;Braunkohlenkoks;-;;-;
;;Wirbelschichtkohle;-;;-;
;;Staub- und Trockenkohle;51066;e;46219;e
;;Sonstige Braunkohlen;9980;e;9146;e
;;Dieselkraftstoff;234;e;203;e
;;Heizöl, leicht;42477;e;38294;e
;;Heizöl, schwer;43393;e;40441;e
;;Flüssiggas;-;;-;
;;Raffineriegas;-;;-;
;;Petrolkoks;21003;e;19489;e
;;Sonstige Mineralölprodukte;20766;e;18508;e
;;Erdgas, Erdölgas;4006821;e;3852764;e
