statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;WAS-PSP-03;Pumpspeicher ohne natürlichen Zufluss;-;MWh;WRM001;Nettowärmeerzeugung;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;WAS-PSP-03;Pumpspeicher ohne natürlichen Zufluss;5798667;MWh;EKT002;Elektrizitätserzeugung (netto);e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;WAS-PSP-03;Pumpspeicher ohne natürlichen Zufluss;5921283;MWh;EKT001;Elektrizitätserzeugung (brutto);e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;WAS-PSP-03;Pumpspeicher ohne natürlichen Zufluss;-;GJ;BRN001;Brennstoffeinsatz;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;GAS-RAF;Raffineriegas;-;MWh;WRM001;Nettowärmeerzeugung;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;GAS-RAF;Raffineriegas;-;MWh;EKT002;Elektrizitätserzeugung (netto);
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;GAS-RAF;Raffineriegas;-;MWh;EKT001;Elektrizitätserzeugung (brutto);
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2013;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;GAS-RAF;Raffineriegas;-;GJ;BRN001;Brennstoffeinsatz;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;ENRKER;Kernenergie;-;MWh;WRM001;Nettowärmeerzeugung;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;ENRKER;Kernenergie;-;MWh;EKT002;Elektrizitätserzeugung (netto);
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;ENRKER;Kernenergie;-;MWh;EKT001;Elektrizitätserzeugung (brutto);
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;ENRKER;Kernenergie;-;GJ;BRN001;Brennstoffeinsatz;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KLS-01;Klärschlamm;12420;MWh;WRM001;Nettowärmeerzeugung;e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KLS-01;Klärschlamm;87890;MWh;EKT002;Elektrizitätserzeugung (netto);e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KLS-01;Klärschlamm;97957;MWh;EKT001;Elektrizitätserzeugung (brutto);e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KLS-01;Klärschlamm;721723;GJ;BRN001;Brennstoffeinsatz;e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;BIO-F-01;Feste biogene Stoffe;5153261;MWh;WRM001;Nettowärmeerzeugung;e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;BIO-F-01;Feste biogene Stoffe;4376182;MWh;EKT002;Elektrizitätserzeugung (netto);e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;BIO-F-01;Feste biogene Stoffe;4867912;MWh;EKT001;Elektrizitätserzeugung (brutto);e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;BIO-F-01;Feste biogene Stoffe;77699213;GJ;BRN001;Brennstoffeinsatz;e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;WAS-SP-01;Speicherwasser;-;MWh;WRM001;Nettowärmeerzeugung;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;WAS-SP-01;Speicherwasser;686115;MWh;EKT002;Elektrizitätserzeugung (netto);e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;WAS-SP-01;Speicherwasser;690104;MWh;EKT001;Elektrizitätserzeugung (brutto);e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2021;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;WAS-SP-01;Speicherwasser;-;GJ;BRN001;Brennstoffeinsatz;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;;Insgesamt;108214657;MWh;WRM001;Nettowärmeerzeugung;e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;;Insgesamt;361342016;MWh;EKT002;Elektrizitätserzeugung (netto);e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;;Insgesamt;387499606;MWh;EKT001;Elektrizitätserzeugung (brutto);e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;;Insgesamt;2856853436;GJ;BRN001;Brennstoffeinsatz;e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;ENRSET;Sonstige Energieträger;96361;MWh;WRM001;Nettowärmeerzeugung;e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;ENRSET;Sonstige Energieträger;31972;MWh;EKT002;Elektrizitätserzeugung (netto);e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;ENRSET;Sonstige Energieträger;33485;MWh;EKT001;Elektrizitätserzeugung (brutto);e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;ENRSET;Sonstige Energieträger;505255;GJ;BRN001;Brennstoffeinsatz;e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-S-01;Steinkohlen;24480483;MWh;WRM001;Nettowärmeerzeugung;e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-S-01;Steinkohlen;49502524;MWh;EKT002;Elektrizitätserzeugung (netto);e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-S-01;Steinkohlen;54522044;MWh;EKT001;Elektrizitätserzeugung (brutto);e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;KHL-S-01;Steinkohlen;535206840;GJ;BRN001;Brennstoffeinsatz;e
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;GEOTH-01;Geothermie;-;MWh;WRM001;Nettowärmeerzeugung;
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;GEOTH-01;Geothermie;-;MWh;EKT002;Elektrizitätserzeugung (netto);
43311;Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;JAHR;Jahr;2018;DINSG;Deutschland insgesamt;DG;Deutschland;ENRG03;Energieträger;GEOTH-01;Geothermie;-;MWh;EKT001;Elektrizitätserzeugung (brutto);
