statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2024;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;;Insgesamt;2458255;MWh;SDO001;Austauschsaldo;p
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2024;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;;Insgesamt;6088825;MWh;EKT102;Einfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2024;MONAT;Monate;MONAT04;April;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;;Insgesamt;3623016;MWh;EKT202;Ausfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2007;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST164;Tschechien;627479;MWh;SDO001;Austauschsaldo;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2007;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST164;Tschechien;783109;MWh;EKT102;Einfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2007;MONAT;Monate;MONAT02;Februar;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST164;Tschechien;155630;MWh;EKT202;Ausfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;1996;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST151;Österreich;-272137;MWh;SDO001;Austauschsaldo;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;1996;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST151;Österreich;349262;MWh;EKT102;Einfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;1996;MONAT;Monate;MONAT01;Januar;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST151;Österreich;621399;MWh;EKT202;Ausfuhr von Elektrizität;e
43312;Erh. ü.Stromein- u.-ausspeisung bei Netzbetreibern;JAHR;Jahr;2006;MONAT;Monate;MONAT06;Juni;DINSG;Deutschland insgesamt;DG;Deutschland;LAEN01;Länder;ST151;Österreich;-105796;MWh;SDO001;Austauschsaldo;e
