years,Concession levy,Renewable Energy Surcharge,Combined Heat and Power Surcharge,§19 StromNEV Surcharge,Offshore Grid Surcharge,Interruptible Loads Surcharge,Electricity Tax
2014,1.314217443,74.55197133,0.836320191,2.7479092,2.031063321,0.107526882,18.36320191
2015,1.368159204,76.74129353,0.995024876,1.865671642,-0.124378109,0.074626866,19.11691542
2016,1.286549708,74.31578947,3.274853801,2.807017544,0.350877193,0,17.97660819
2017,1.212789416,75.85446527,3.197353914,2.756339581,-0.022050717,0.06615215,16.94597574
2018,1.223581758,75.55061179,2.892102336,2.669632925,0.444938821,0.122358176,17.09677419
2019,1.229050279,71.56424581,3.12849162,2.234636872,4.648044693,0.055865922,17.17318436
2020,1.185344828,72.80172414,2.435344828,2.478448276,4.482758621,0.075431034,16.5625
2021,1.211453744,71.58590308,2.797356828,2.973568282,4.350220264,0.099118943,16.92731278
2022,2.401746725,40.65502183,8.253275109,5.895196507,9.148471616,0.065502183,33.55895197
2023,3.846153846,0,12.48251748,9.090909091,20.66433566,0,53.74125874
