,Biomass,Hard coal,Hydropower,Lignite,Mineral oil,Natural gas,Nuclear,Other,Solar,Wind,Year,Cost,GWP,Cluster
27,0.6986985767029551,5.85711067703708,5.083917133656106,6.958632394561097,1.6934518258262816,18.104098681544766,10.700684886202264,5.903405824469456,15.0,30.0,2025.0,9.767319407976194,24.544220583049942,0
28,6.962476833591658,2.7990093226888035,0.1576480767033006,3.1371712622145207,12.6926392979601,10.425140950734123,12.480671976096353,6.345242280011139,15.0,30.0,2025.0,9.428389581607142,25.07005954708331,0
45,7.171263752735321,8.03831858594001,0.13403896848217273,6.268435882649201,13.013781961434388,7.010460037653667,9.151421157575573,4.212279653529672,15.0,30.0,2025.0,9.317936554722216,25.449572127975006,0
51,2.2786459348547368,13.642399546461716,0.0002073367579749762,7.4233970240600335,9.311374717037577,0.9736108031811456,17.340705946776158,4.029658690870657,15.0,30.0,2025.0,9.04196378371031,28.221815638358336,2
95,7.133289042763931,9.478781867538242,0.35220304610042913,0.5772155336179362,7.473937044709252,13.690623781631432,14.840377927098384,1.4535717565403925,15.0,30.0,2025.0,9.089869770813486,26.151190045175007,3
118,6.904032901686933,7.853392673543592,0.11314524250625728,6.408157613508772,10.886301435202531,6.711475795032704,11.100838927643085,3.532693445564272,16.48996196531185,30.0,2026.0,9.26961781263888,25.567979669525005,0
132,1.4642242109051098,10.34879219407053,1.9033267480738338,11.846329031462153,10.239427401827859,6.087189238808909,11.927284816809033,1.1834263580425728,15.0,30.0,2026.0,9.0870919241865,26.755040953233337,3
153,3.8713645749048364,2.205160394371829,2.264712046422114,3.936678005710401,10.944258993731832,12.502946793809755,13.459974165487745,3.206495624371364,17.608409401190134,30.0,2026.0,9.063156502103167,26.846490917041663,3
242,3.9455746234438056,11.843345269581638,0.07651577330301379,8.117210390531662,4.874809138475004,4.637398502136487,9.268170517169198,12.236975785359201,15.0,30.0,2027.0,9.233962179345236,26.121678208108328,3
279,2.8403886126183946,12.48146509462393,1.8977340100772724,11.9331618734206,5.136887486994764,3.570515697260537,16.807334900812947,0.33251232419155363,15.0,30.0,2027.0,9.049519879543645,28.067998581808332,2
698,2.195408730754409,2.1031946477048127,1.8143243045616742,3.823930005493554,4.875761585445416,15.288260177040838,9.197216071832713,15.701904477166591,15.0,30.0,2031.0,9.340629654821429,25.084497438299973,0
754,9.595506924906363,3.9752899774346604,2.4597693579844844,6.821431602336612,2.719315914282981,19.73512936017215,0.9724343923984233,8.721122470484325,15.0,30.0,2032.0,11.780963690000004,23.807572390149943,1
841,2.606147835127472,9.75670257463653,2.3274008861415973,13.323201584124504,3.39849070578178,4.293925098652408,12.538433759715685,6.7556975558200225,15.0,30.0,2033.0,9.255097868988093,25.999428858408322,3
861,10.42796172540338,3.6747199865556954,3.492387609325259,8.096247596143277,1.5349464715352321,19.79989825852503,2.1277363046303375,5.846102047881786,15.0,30.0,2033.0,11.787789208333338,23.60620998314994,1
961,9.311134994341911,5.193072008199191,0.09142973754946945,4.096399647475867,0.08845463719245228,15.680752836537447,9.269716060346388,6.809037445790974,19.460002632566304,30.0,2034.0,10.614261471428577,23.93107613434996,1
985,4.609624573403324,6.599871301686982,3.0740505091250485,4.3493048587121725,1.4475724549581626,17.391243303764803,10.02770694996033,7.500626048389178,15.0,30.0,2034.0,9.47235121125,24.571303405599938,0
