STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_prc,Components of energy prices,nrg_cons,Energy consumption,currency,Currency,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_PC_205_C(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,ALLOW_OTH,Other allowance,MWH20000-69999,Consumption from 20 000 MWh to 69 999 MWh - band IE,EUR,Euro,DE,Germany,2024,,0.0000,,,,,
dataflow,ESTAT:NRG_PC_205_C(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH20000-69999,Consumption from 20 000 MWh to 69 999 MWh - band IE,EUR,Euro,DE,Germany,2017,,0.0229,,,,,
dataflow,ESTAT:NRG_PC_205_C(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH20000-69999,Consumption from 20 000 MWh to 69 999 MWh - band IE,EUR,Euro,DE,Germany,2018,,0.0184,,,,,
dataflow,ESTAT:NRG_PC_205_C(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH20000-69999,Consumption from 20 000 MWh to 69 999 MWh - band IE,EUR,Euro,DE,Germany,2019,,0.0204,,,,,
dataflow,ESTAT:NRG_PC_205_C(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH20000-69999,Consumption from 20 000 MWh to 69 999 MWh - band IE,EUR,Euro,DE,Germany,2020,,0.0244,,,,,
dataflow,ESTAT:NRG_PC_205_C(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH20000-69999,Consumption from 20 000 MWh to 69 999 MWh - band IE,EUR,Euro,DE,Germany,2021,,0.0212,,,,,
dataflow,ESTAT:NRG_PC_205_C(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH20000-69999,Consumption from 20 000 MWh to 69 999 MWh - band IE,EUR,Euro,DE,Germany,2022,,0.0238,,,,,
dataflow,ESTAT:NRG_PC_205_C(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH20000-69999,Consumption from 20 000 MWh to 69 999 MWh - band IE,EUR,Euro,DE,Germany,2023,,0.0267,,,,,
dataflow,ESTAT:NRG_PC_205_C(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NETC,Network costs,MWH20000-69999,Consumption from 20 000 MWh to 69 999 MWh - band IE,EUR,Euro,DE,Germany,2024,,0.0397,,,,,
dataflow,ESTAT:NRG_PC_205_C(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NRG_SUP,Energy and supply,MWH20000-69999,Consumption from 20 000 MWh to 69 999 MWh - band IE,EUR,Euro,DE,Germany,2017,,0.0230,,,,,
dataflow,ESTAT:NRG_PC_205_C(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NRG_SUP,Energy and supply,MWH20000-69999,Consumption from 20 000 MWh to 69 999 MWh - band IE,EUR,Euro,DE,Germany,2018,,0.0332,,,,,
dataflow,ESTAT:NRG_PC_205_C(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NRG_SUP,Energy and supply,MWH20000-69999,Consumption from 20 000 MWh to 69 999 MWh - band IE,EUR,Euro,DE,Germany,2019,,0.0309,,,,,
dataflow,ESTAT:NRG_PC_205_C(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NRG_SUP,Energy and supply,MWH20000-69999,Consumption from 20 000 MWh to 69 999 MWh - band IE,EUR,Euro,DE,Germany,2020,,0.0322,,,,,
dataflow,ESTAT:NRG_PC_205_C(1.0),Electricity prices components for non-household consumers - annual data (from 2007 onwards),A,Annual,NRG_SUP,Energy and supply,MWH20000-69999,Consumption from 20 000 MWh to 69 999 MWh - band IE,EUR,Euro,DE,Germany,2021,,0.0502,,,,,
