Jahr,Typ,Elektrizitätserzeugung (brutto),Elektrizitätserzeugung (netto)
2002,"Abfall (Hausmüll, Industrie)",3897803.0,2926818.0
2002,"Abfall (Hausmüll, Siedlungsabfälle)",0.0,0.0
2002,Abfall (Industrie),0.0,0.0
2002,Andere Speicher,0.0,0.0
2002,Biogas,32394.0,30547.0
2002,Biomethan (Bioerdgas),0.0,0.0
2002,Braunkohlenbriketts,48263.0,41935.0
2002,Braunkohlenkoks,0.0,0.0
2002,Deponiegas,115407.0,110551.0
2002,Dieselkraftstoff,6749.0,6381.0
2002,"Erdgas, Erdölgas",41728764.0,39982951.0
2002,Feste biogene Stoffe,219686.0,201651.0
2002,Flüssige biogene Stoffe,0.0,0.0
2002,Flüssiggas,169.0,159.0
2002,Geothermie,0.0,0.0
2002,Grubengas,239484.0,215765.0
2002,Hartbraunkohlen,2078120.0,1894333.0
2002,"Heizöl, leicht",564537.0,514137.0
2002,"Heizöl, schwer",664702.0,610149.0
2002,Hochofengas,3300300.0,3102993.0
2002,Insgesamt,517668790.0,484044339.0
2002,Kernenergie,164841974.0,156287021.0
2002,Klärgas,11982.0,11836.0
2002,Klärschlamm,57445.0,51438.0
2002,Kohlenwertstoffe aus Steinkohle,0.0,0.0
2002,Kokereigas,50066.0,44985.0
2002,Laufwasser,18216293.0,17987251.0
2002,Petrolkoks,234518.0,212180.0
2002,Photovoltaik,1876.0,1804.0
2002,Pumpspeicher mit natürlichem Zufluss,0.0,0.0
2002,Pumpspeicher ohne natürlichen Zufluss,0.0,0.0
2002,Pumpspeicherwasser,4016296.0,3933611.0
2002,Raffineriegas,0.0,0.0
2002,Rohbraunkohlen,152152294.0,140544281.0
2002,Solarthermie,0.0,0.0
2002,Sonstige Braunkohlen,119617.0,110305.0
2002,Sonstige Energieträger,27282.0,23853.0
2002,Sonstige Mineralölprodukte,682857.0,624212.0
2002,Sonstige Steinkohlen,0.0,0.0
2002,Sonstige erneuerbare Energien,265526.0,243469.0
2002,Sonstige hergestellte Gase,265669.0,244012.0
2002,Speicherwasser,2108425.0,2060394.0
2002,Staub- und Trockenkohle,493976.0,441932.0
2002,Steinkohlen,121062371.0,111426567.0
2002,Steinkohlenbriketts,0.0,0.0
2002,Steinkohlenkoks,0.0,0.0
2002,Strom (Elektrokessel),0.0,0.0
2002,Wasserstoff,0.0,0.0
2002,Windkraft,163940.0,156818.0
2002,Wirbelschichtkohle,0.0,0.0
2002,Wärme,0.0,0.0
2002,Wärmepumpen (Erd- und Umweltwärme),0.0,0.0
2003,"Abfall (Hausmüll, Industrie)",4321204.0,3182945.0
2003,"Abfall (Hausmüll, Siedlungsabfälle)",0.0,0.0
2003,Abfall (Industrie),0.0,0.0
2003,Andere Speicher,0.0,0.0
2003,Biogas,17556.0,16499.0
2003,Biomethan (Bioerdgas),0.0,0.0
2003,Braunkohlenbriketts,21585.0,19617.0
2003,Braunkohlenkoks,13342.0,11747.0
2003,Deponiegas,126330.0,118181.0
2003,Dieselkraftstoff,7233.0,7065.0
2003,"Erdgas, Erdölgas",46763517.0,44973718.0
2003,Feste biogene Stoffe,276398.0,255228.0
2003,Flüssige biogene Stoffe,0.0,0.0
2003,Flüssiggas,4.0,4.0
